open,high,low,close,vol,divs,stock_splits
4459.75,4541.75,4447.5,4538.0,66534,0.0,0.0
4536.5,4546.75,4526.75,4531.0,162664,0.0,0.0
4512.5,4552.25,4512.25,4532.75,157035,0.0,0.0
4538.75,4548.75,4522.75,4541.25,116969,0.0,0.0
4543.5,4555.25,4514.5,4515.75,165445,0.0,0.0
4520.25,4547.5,4500.0,4509.25,175329,0.0,0.0
4506.5,4517.0,4459.75,4480.5,226373,0.0,0.0
4429.75,4451.5,4368.25,4378.0,334972,0.0,0.0
4386.25,4412.25,4372.0,4390.25,304509,0.0,0.0
4392.75,4441.75,4392.0,4422.0,191161,0.0,0.0
4423.75,4441.5,4408.25,4428.75,155244,0.0,0.0
4427.75,4437.25,4344.0,4422.75,285735,0.0,0.0
4429.5,4448.0,4334.5,4422.25,384237,0.0,0.0
4422.5,4422.5,4336.5,4346.5,335132,0.0,0.0
4347.75,4408.0,4331.75,4339.5,260171,0.0,0.0
4345.75,4426.5,4345.75,4408.25,236765,0.0,0.0
4384.0,4491.75,4372.5,4488.0,209774,0.0,0.0
4487.25,4529.75,4484.5,4517.5,156246,0.0,0.0
4519.25,4539.5,4509.25,4536.5,187307,0.0,0.0
4534.5,4612.5,4531.0,4597.75,192220,0.0,0.0
4609.75,4654.0,4607.25,4650.0,187930,0.0,0.0
4649.0,4686.0,4646.5,4671.25,169781,0.0,0.0
4671.25,4683.0,4611.5,4666.5,226216,0.0,0.0
4618.0,4636.5,4588.75,4617.0,235343,0.0,0.0
4621.75,4634.75,4584.25,4620.0,211215,0.0,0.0
4633.5,4638.75,4544.5,4561.75,236180,0.0,0.0
4562.25,4568.25,4503.5,4522.5,293740,0.0,0.0
4521.25,4561.25,4497.0,4556.0,280667,0.0,0.0
4558.0,4579.5,4544.0,4565.0,222563,0.0,0.0
4562.75,4598.75,4530.75,4595.25,226285,0.0,0.0
4589.25,4608.75,4576.25,4585.0,214679,0.0,0.0
4583.25,4599.25,4540.5,4573.0,251564,0.0,0.0
4570.5,4581.25,4543.5,4551.75,253010,0.0,0.0
4551.5,4629.0,4551.0,4593.5,247802,0.0,0.0
4591.75,4608.75,4502.75,4524.75,272055,0.0,0.0
4527.25,4533.75,4480.5,4519.0,249232,0.0,0.0
4514.0,4580.0,4512.75,4566.0,199353,0.0,0.0
4582.5,4584.75,4485.5,4510.75,301820,0.0,0.0
4512.75,4535.5,4431.25,4533.5,358454,0.0,0.0
4529.75,4557.0,4508.75,4517.25,234832,0.0,0.0
4514.5,4534.0,4499.0,4531.75,167712,0.0,0.0
4532.5,4567.75,4503.25,4564.75,191979,0.0,0.0
4562.5,4573.5,4533.75,4544.0,164755,0.0,0.0
4543.0,4552.25,4483.25,4503.75,331472,0.0,0.0
4502.25,4513.0,4360.0,4366.25,449728,0.0,0.0
4367.75,4368.25,4189.0,4200.75,614566,0.0,0.0
4183.75,4196.25,3908.25,4003.25,746533,0.0,0.0
3998.0,4204.25,3997.75,4028.5,630057,0.0,0.0
4036.75,4229.5,3958.75,4214.5,637925,0.0,0.0
4222.75,4332.75,4205.25,4328.0,475384,0.0,0.0
