;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;29;4,00;0,75;4,25;;5,00;;2,00
;;28;4,00;0,75;4,25;;5,00;;2,00
;;27;4,00;0,75;4,25;;5,00;;2,00
;;26;4,00;0,75;4,25;;;;
;;23;4,00;0,75;4,25;;5,00;;2,00
;;22;4,00;0,75;4,25;;5,00;;2,00
;;21;4,00;0,75;4,25;;5,00;;2,00
;;20;4,00;0,75;4,25;;5,00;;2,00
;;19;4,00;0,75;4,25;;5,00;;2,00
;;16;4,00;0,75;4,25;;5,00;;2,00
;;15;4,00;0,75;4,25;;5,00;;2,00
;;14;4,00;0,75;4,25;;5,00;;2,00
;;13;4,00;0,75;4,25;;5,00;;2,00
;;12;4,00;0,75;4,25;;5,00;;2,00
;;9;4,00;0,75;4,25;;5,00;;2,00
;;8;4,00;0,75;4,25;;5,00;;2,00
;;7;4,00;0,75;4,25;;5,00;;2,00
;;6;4,00;;4,25;;5,00;;2,00
;;5;4,00;;4,25;;;;2,00
;;2;4,00;0,75;4,25;;5,00;;2,00
;;1;;0,75;;;5,00;;2,00
;;;4,00;0,75;4,25;;5,00;;2,00
;Apr;30;4,00;0,75;4,25;;5,00;;2,00
;;29;4,00;;4,25;;5,00;;2,25
;;28;4,00;0,75;4,25;;5,00;;2,25
;;25;4,00;0,75;4,25;;5,00;;2,25
;;24;4,00;0,75;4,25;;5,00;;2,25
;;23;4,00;0,75;4,25;;5,00;;2,25
;;22;4,00;0,75;4,25;;5,00;;2,25
;;21;4,00;0,75;4,25;;5,00;;2,25
;;18;4,00;0,75;4,25;;5,00;;2,25
;;17;4,00;0,75;4,25;;5,00;;2,25
;;16;4,00;0,75;4,25;;5,00;;2,25
;;15;4,00;0,75;4,25;;5,00;;2,25
;;14;4,00;0,75;4,25;;5,00;;2,25
;;11;4,00;0,75;4,25;;5,00;;2,25
;;10;4,00;0,75;4,25;;5,00;;2,25
;;9;4,00;0,75;4,25;;5,25;;2,25
;;8;4,00;0,75;4,25;;5,25;;2,25
;;7;4,00;0,75;4,25;;5,25;;2,25
;;4;4,00;0,75;4,25;;5,25;;2,25
;;3;4,00;0,75;4,25;;5,25;;2,25
;;2;4,00;0,75;4,25;;5,25;;2,25
;;1;4,00;0,75;4,25;;5,25;;2,25
;;;4,00;0,75;4,25;;5,00;;2,00
;Mar;31;4,00;0,75;4,25;;5,25;;2,25
;;28;4,00;0,75;4,25;;5,25;;2,25
;;27;4,00;0,75;4,25;;5,25;;2,25
;;26;4,00;0,75;4,25;;5,25;;2,25
;;25;4,00;0,75;4,25;;5,25;;2,25
;;24;;0,75;;;;;2,25
;;21;;0,75;;;;;2,25
;;20;4,00;;4,25;;5,25;;2,25
;;19;4,00;0,75;4,25;;5,25;;2,25
;;18;4,00;0,75;4,25;;5,25;;2,25
;;17;4,00;0,75;4,25;;5,25;;3,00
;;14;4,00;0,75;4,25;;5,25;;3,00
;;13;4,00;0,75;4,25;;5,25;;3,00
;;12;4,00;0,75;4,25;;5,25;;3,00
;;11;4,00;0,75;4,25;;5,25;;3,00
;;10;4,00;0,75;4,25;;5,25;;3,00
;;7;4,00;0,75;4,25;;5,25;;3,00
;;6;4,00;0,75;4,25;;5,25;;3,00
;;5;4,00;0,75;4,25;;5,25;;3,00
;;4;4,00;0,75;4,25;;5,25;;3,00
;;3;4,00;0,75;4,25;;5,25;;3,00
;;;4,00;0,75;4,25;;5,25;;2,25
;Feb;29;4,00;0,75;4,25;;5,25;;3,00
;;28;4,00;0,75;4,25;;5,25;;3,00
;;27;4,00;0,75;4,25;;5,25;;3,00
;;26;4,00;0,75;4,25;;5,25;;3,00
;;25;4,00;0,75;4,25;;5,25;;3,00
;;22;4,00;0,75;4,25;;5,25;;3,00
;;21;4,00;0,75;4,25;;5,25;;3,00
;;20;4,00;0,75;4,25;;5,25;;3,00
;;19;4,00;0,75;4,00;;5,25;;3,00
;;18;4,00;0,75;4,00;;5,25;;
;;15;4,00;0,75;4,00;;5,25;;3,00
;;14;4,00;0,75;4,00;;5,25;;3,00
;;13;4,00;0,75;4,00;;5,25;;3,00
;;12;4,00;0,75;4,00;;5,25;;3,00
;;11;4,00;;4,00;;5,25;;3,00
;;8;4,00;0,75;4,00;;5,25;;3,00
;;7;4,00;0,75;4,00;;5,25;;3,00
;;6;4,00;0,75;4,00;;5,50;;3,00
;;5;4,00;0,75;4,00;;5,50;;3,00
;;4;4,00;0,75;4,00;;5,50;;3,00
;;1;4,00;0,75;4,00;;5,50;;3,00
;;;4,00;0,75;4,25;;5,25;;3,00
;Jan;31;4,00;0,75;4,00;;5,50;;3,00
;;30;4,00;0,75;4,00;;5,50;;3,00
;;29;4,00;0,75;4,00;;5,50;;3,50
;;28;4,00;0,75;4,00;;5,50;;3,50
;;25;4,00;0,75;4,00;;5,50;;3,50
;;24;4,00;0,75;4,00;;5,50;;3,50
;;23;4,00;0,75;4,00;;5,50;;3,50
;;22;4,00;0,75;4,00;;5,50;;3,50
;;21;4,00;0,75;4,00;;5,50;;
;;18;4,00;0,75;4,00;;5,50;;4,25
;;17;4,00;0,75;4,00;;5,50;;4,25
;;16;4,00;0,75;4,00;;5,50;;4,25
;;15;4,00;0,75;4,00;;5,50;;4,25
;;14;4,00;;4,00;;5,50;;4,25
;;11;4,00;0,75;4,00;;5,50;;4,25
;;10;4,00;0,75;4,00;;5,50;;4,25
;;9;4,00;0,75;4,00;;5,50;;4,25
;;8;4,00;0,75;4,00;;5,50;;4,25
;;7;4,00;0,75;4,00;;5,50;;4,25
;;4;4,00;0,75;4,00;;5,50;;4,25
;;3;4,00;;4,00;;5,50;;4,25
;;2;4,00;;4,00;;5,50;;4,25
;;;4,00;0,75;4,00;;5,50;;3,00
2007;Dec;31;4,00;;;;5,50;;4,25
;;28;4,00;0,75;4,00;;5,50;;4,25
;;27;4,00;0,75;4,00;;5,50;;4,25
;;26;;0,75;;;;;4,25
;;25;;0,75;;;;;
;;24;4,00;;4,00;;5,50;;4,25
;;21;4,00;0,75;4,00;;5,50;;4,25
;;20;4,00;0,75;4,00;;5,50;;4,25
;;19;4,00;0,75;4,00;;5,50;;4,25
;;18;4,00;0,75;4,00;;5,50;;4,25
;;17;4,00;0,75;4,00;;5,50;;4,25
;;14;4,00;0,75;4,00;;5,50;;4,25
;;13;4,00;0,75;4,00;;5,50;;4,25
;;12;4,00;0,75;4,00;;5,50;;4,25
;;11;4,00;0,75;4,00;;5,50;;4,25
;;10;4,00;0,75;4,00;;5,50;;4,50
;;7;4,00;0,75;4,00;;5,50;;4,50
;;6;4,00;0,75;4,00;;5,50;;4,50
;;5;4,00;0,75;4,00;;5,75;;4,50
;;4;4,00;0,75;4,00;;5,75;;4,50
;;3;4,00;0,75;4,00;;5,75;;4,50
;;;4,00;0,75;4,00;;5,50;;4,25
;Nov;30;4,00;0,75;4,00;;5,75;;4,50
;;29;4,00;0,75;4,00;;5,75;;4,50
;;28;4,00;0,75;4,00;;5,75;;4,50
;;27;4,00;0,75;4,00;;5,75;;4,50
;;26;4,00;0,75;4,00;;5,75;;4,50
;;23;4,00;;4,00;;5,75;;4,50
;;22;4,00;0,75;4,00;;5,75;;
;;21;4,00;0,75;4,00;;5,75;;4,50
;;20;4,00;0,75;4,00;;5,75;;4,50
;;19;4,00;0,75;4,00;;5,75;;4,50
;;16;4,00;0,75;4,00;;5,75;;4,50
;;15;4,00;0,75;4,00;;5,75;;4,50
;;14;4,00;0,75;4,00;;5,75;;4,50
;;13;4,00;0,75;4,00;;5,75;;4,50
;;12;4,00;0,75;4,00;;5,75;;4,50
;;9;4,00;0,75;4,00;;5,75;;4,50
;;8;4,00;0,75;4,00;;5,75;;4,50
;;7;4,00;0,75;4,00;;5,75;;4,50
;;6;4,00;0,75;4,00;;5,75;;4,50
;;5;4,00;0,75;4,00;;5,75;;4,50
;;2;4,00;0,75;4,00;;5,75;;4,50
;;1;4,00;0,75;4,00;;5,75;;4,50
;;;4,00;0,75;4,00;;5,75;;4,50
;Oct;31;4,00;0,75;4,00;;5,75;;4,50
;;30;4,00;0,75;3,75;;5,75;;4,75
;;29;4,00;0,75;3,75;;5,75;;4,75
;;26;4,00;0,75;3,75;;5,75;;4,75
;;25;4,00;0,75;3,75;;5,75;;4,75
;;24;4,00;0,75;3,75;;5,75;;4,75
;;23;4,00;0,75;3,75;;5,75;;4,75
;;22;4,00;0,75;3,75;;5,75;;4,75
;;19;4,00;0,75;3,75;;5,75;;4,75
;;18;4,00;0,75;3,75;;5,75;;4,75
;;17;4,00;0,75;3,75;;5,75;;4,75
;;16;4,00;0,75;3,75;;5,75;;4,75
;;15;4,00;0,75;3,75;;5,75;;4,75
;;12;4,00;0,75;3,75;;5,75;;4,75
;;11;4,00;0,75;3,75;;5,75;;4,75
;;10;4,00;0,75;3,75;;5,75;;4,75
;;9;4,00;0,75;3,75;;5,75;;4,75
;;8;4,00;;3,75;;5,75;;4,75
;;5;4,00;0,75;3,75;;5,75;;4,75
;;4;4,00;0,75;3,75;;5,75;;4,75
;;3;4,00;0,75;3,75;;5,75;;4,75
;;2;4,00;0,75;3,75;;5,75;;4,75
;;1;4,00;0,75;3,75;;5,75;;4,75
;;;4,00;0,75;4,00;;5,75;;4,50
;Sep;28;4,00;0,75;3,75;;5,75;;4,75
;;27;4,00;0,75;3,75;;5,75;;4,75
;;26;4,00;0,75;3,75;;5,75;;4,75
;;25;4,00;0,75;3,75;;5,75;;4,75
;;24;4,00;;3,75;;5,75;;4,75
;;21;4,00;0,75;3,75;;5,75;;4,75
;;20;4,00;0,75;3,75;;5,75;;4,75
;;19;4,00;0,75;3,75;;5,75;;4,75
;;18;4,00;0,75;3,75;;5,75;;4,75
;;17;4,00;;3,75;;5,75;;5,25
;;14;4,00;0,75;3,75;;5,75;;5,25
;;13;4,00;0,75;3,75;;5,75;;5,25
;;12;4,00;0,75;3,75;;5,75;;5,25
;;11;4,00;0,75;3,50;;5,75;;5,25
;;10;4,00;0,75;3,50;;5,75;;5,25
;;7;4,00;0,75;3,50;;5,75;;5,25
;;6;4,00;0,75;3,50;;5,75;;5,25
;;5;4,00;0,75;3,50;;5,75;;5,25
;;4;4,00;0,75;3,50;;5,75;;5,25
;;3;4,00;0,75;3,50;;5,75;;
;;;4,00;0,75;3,75;;5,75;;4,75
;Aug;31;4,00;0,75;3,50;;5,75;;5,25
;;30;4,00;0,75;3,50;;5,75;;5,25
;;29;4,00;0,75;3,50;;5,75;;5,25
;;28;4,00;0,75;3,50;;5,75;;5,25
;;27;4,00;0,75;3,50;;;;5,25
;;24;4,00;0,75;3,50;;5,75;;5,25
;;23;4,00;0,75;3,50;;5,75;;5,25
;;22;4,00;0,75;3,50;;5,75;;5,25
;;21;4,00;0,75;3,50;;5,75;;5,25
;;20;4,00;0,75;3,50;;5,75;;5,25
;;17;4,00;0,75;3,50;;5,75;;5,25
;;16;4,00;0,75;3,50;;5,75;;5,25
;;15;4,00;0,75;3,50;;5,75;;5,25
;;14;4,00;0,75;3,50;;5,75;;5,25
;;13;4,00;0,75;3,50;;5,75;;5,25
;;10;4,00;0,75;3,50;;5,75;;5,25
;;9;4,00;0,75;3,50;;5,75;;5,25
;;8;4,00;0,75;3,50;;5,75;;5,25
;;7;4,00;0,75;3,50;;5,75;;5,25
;;6;4,00;0,75;3,50;;5,75;;5,25
;;3;4,00;0,75;3,50;;5,75;;5,25
;;2;4,00;0,75;3,50;;5,75;;5,25
;;1;4,00;0,75;3,50;;5,75;;5,25
;;;4,00;0,75;3,50;;5,75;;5,25
;Jul;31;4,00;0,75;3,50;;5,75;;5,25
;;30;4,00;0,75;3,50;;5,75;;5,25
;;27;4,00;0,75;3,50;;5,75;;5,25
;;26;4,00;0,75;3,50;;5,75;;5,25
;;25;4,00;0,75;3,50;;5,75;;5,25
;;24;4,00;0,75;3,50;;5,75;;5,25
;;23;4,00;0,75;3,50;;5,75;;5,25
;;20;4,00;0,75;3,50;;5,75;;5,25
;;19;4,00;0,75;3,50;;5,75;;5,25
;;18;4,00;0,75;3,50;;5,75;;5,25
;;17;4,00;0,75;3,50;;5,75;;5,25
;;16;4,00;;3,50;;5,75;;5,25
;;13;4,00;0,75;3,50;;5,75;;5,25
;;12;4,00;0,75;3,50;;5,75;;5,25
;;11;4,00;0,75;3,50;;5,75;;5,25
;;10;4,00;0,75;3,50;;5,75;;5,25
;;9;4,00;0,75;3,50;;5,75;;5,25
;;6;4,00;0,75;3,50;;5,75;;5,25
;;5;4,00;0,75;3,50;;5,75;;5,25
;;4;4,00;0,75;3,50;;5,50;;
;;3;4,00;0,75;3,50;;5,50;;5,25
;;2;4,00;0,75;3,50;;5,50;;5,25
;;;4,00;0,75;3,50;;5,75;;5,25
;Jun;29;4,00;0,75;3,50;;5,50;;5,25
;;28;4,00;0,75;3,50;;5,50;;5,25
;;27;4,00;0,75;3,50;;5,50;;5,25
;;26;4,00;0,75;3,25;;5,50;;5,25
;;25;4,00;0,75;3,25;;5,50;;5,25
;;22;4,00;0,75;3,25;;5,50;;5,25
;;21;4,00;0,75;3,25;;5,50;;5,25
;;20;4,00;0,75;3,25;;5,50;;5,25
;;19;4,00;0,75;3,25;;5,50;;5,25
;;18;4,00;0,75;3,25;;5,50;;5,25
;;15;4,00;0,75;3,25;;5,50;;5,25
;;14;4,00;0,75;3,25;;5,50;;5,25
;;13;4,00;0,75;3,25;;5,50;;5,25
;;12;3,75;0,75;3,25;;5,50;;5,25
;;11;3,75;0,75;3,25;;5,50;;5,25
;;8;3,75;0,75;3,25;;5,50;;5,25
;;7;3,75;0,75;3,25;;5,50;;5,25
;;6;3,75;0,75;;;5,50;;5,25
;;5;3,75;0,75;3,25;;5,50;;5,25
;;4;3,75;0,75;3,25;;5,50;;5,25
;;1;3,75;0,75;3,25;;5,50;;5,25
;;;4,00;0,75;3,50;;5,50;;5,25
;May;31;3,75;0,75;3,25;;5,50;;5,25
;;30;3,75;0,75;3,25;;5,50;;5,25
;;29;3,75;0,75;3,25;;5,50;;5,25
;;28;3,75;0,75;3,25;;;;
;;25;3,75;0,75;3,25;;5,50;;5,25
;;24;3,75;0,75;3,25;;5,50;;5,25
;;23;3,75;0,75;3,25;;5,50;;5,25
;;22;3,75;0,75;3,25;;5,50;;5,25
;;21;3,75;0,75;3,25;;5,50;;5,25
;;18;3,75;0,75;3,25;;5,50;;5,25
;;17;3,75;0,75;3,25;;5,50;;5,25
;;16;3,75;0,75;3,25;;5,50;;5,25
;;15;3,75;0,75;3,25;;5,50;;5,25
;;14;3,75;0,75;3,25;;5,50;;5,25
;;11;3,75;0,75;3,25;;5,50;;5,25
;;10;3,75;0,75;3,25;;5,50;;5,25
;;9;3,75;0,75;3,25;;5,25;;5,25
;;8;3,75;0,75;3,25;;5,25;;5,25
;;7;3,75;0,75;3,25;;;;5,25
;;4;3,75;;3,25;;5,25;;5,25
;;3;3,75;;3,25;;5,25;;5,25
;;2;3,75;0,75;3,25;;5,25;;5,25
;;1;;0,75;3,25;;5,25;;5,25
;;;3,75;0,75;3,25;;5,50;;5,25
;Apr;30;3,75;;3,25;;5,25;;5,25
;;27;3,75;0,75;3,25;;5,25;;5,25
;;26;3,75;0,75;3,25;;5,25;;5,25
;;25;3,75;0,75;3,25;;5,25;;5,25
;;24;3,75;0,75;3,25;;5,25;;5,25
;;23;3,75;0,75;3,25;;5,25;;5,25
;;20;3,75;0,75;3,25;;5,25;;5,25
;;19;3,75;0,75;3,25;;5,25;;5,25
;;18;3,75;0,75;3,25;;5,25;;5,25
;;17;3,75;0,75;3,25;;5,25;;5,25
;;16;3,75;0,75;3,25;;5,25;;5,25
;;13;3,75;0,75;3,25;;5,25;;5,25
;;12;3,75;0,75;3,25;;5,25;;5,25
;;11;3,75;0,75;3,25;;5,25;;5,25
;;10;3,75;0,75;3,25;;5,25;;5,25
;;9;;0,75;;;;;5,25
;;6;;0,75;;;;;5,25
;;5;3,75;0,75;3,25;;5,25;;5,25
;;4;3,75;0,75;3,25;;5,25;;5,25
;;3;3,75;0,75;3,25;;5,25;;5,25
;;2;3,75;0,75;3,25;;5,25;;5,25
;;;3,75;0,75;3,25;;5,25;;5,25
;Mar;30;3,75;0,75;3,25;;5,25;;5,25
;;29;3,75;0,75;3,25;;5,25;;5,25
;;28;3,75;0,75;3,25;;5,25;;5,25
;;27;3,75;0,75;3,25;;5,25;;5,25
;;26;3,75;0,75;3,25;;5,25;;5,25
;;23;3,75;0,75;3,25;;5,25;;5,25
;;22;3,75;0,75;3,25;;5,25;;5,25
;;21;3,75;;3,25;;5,25;;5,25
;;20;3,75;0,75;3,25;;5,25;;5,25
;;19;3,75;0,75;3,25;;5,25;;5,25
;;16;3,75;0,75;3,25;;5,25;;5,25
;;15;3,75;0,75;3,25;;5,25;;5,25
;;14;3,75;0,75;3,25;;5,25;;5,25
;;13;3,50;0,75;3,25;;5,25;;5,25
;;12;3,50;0,75;3,25;;5,25;;5,25
;;9;3,50;0,75;3,25;;5,25;;5,25
;;8;3,50;0,75;3,25;;5,25;;5,25
;;7;3,50;0,75;3,25;;5,25;;5,25
;;6;3,50;0,75;3,25;;5,25;;5,25
;;5;3,50;0,75;3,25;;5,25;;5,25
;;2;3,50;0,75;3,25;;5,25;;5,25
;;1;3,50;0,75;3,25;;5,25;;5,25
;;;3,75;0,75;3,25;;5,25;;5,25
;Feb;28;3,50;0,75;3,25;;5,25;;5,25
;;27;3,50;0,75;3,25;;5,25;;5,25
;;26;3,50;0,75;3,25;;5,25;;5,25
;;23;3,50;0,75;3,25;;5,25;;5,25
;;22;3,50;0,75;3,25;;5,25;;5,25
;;21;3,50;0,75;3,25;;5,25;;5,25
;;20;3,50;0,40;3,00;;5,25;;5,25
;;19;3,50;0,40;3,00;;5,25;;
;;16;3,50;0,40;3,00;;5,25;;5,25
;;15;3,50;0,40;3,00;;5,25;;5,25
;;14;3,50;0,40;3,00;;5,25;;5,25
;;13;3,50;0,40;3,00;;5,25;;5,25
;;12;3,50;;3,00;;5,25;;5,25
;;9;3,50;0,40;3,00;;5,25;;5,25
;;8;3,50;0,40;3,00;;5,25;;5,25
;;7;3,50;0,40;3,00;;5,25;;5,25
;;6;3,50;0,40;3,00;;5,25;;5,25
;;5;3,50;0,40;3,00;;5,25;;5,25
;;2;3,50;0,40;3,00;;5,25;;5,25
;;1;3,50;0,40;3,00;;5,25;;5,25
;;;3,50;0,75;3,25;;5,25;;5,25
;Jan;31;3,50;0,40;3,00;;5,25;;5,25
;;30;3,50;0,40;3,00;;5,25;;5,25
;;29;3,50;0,40;3,00;;5,25;;5,25
;;26;3,50;0,40;3,00;;5,25;;5,25
;;25;3,50;0,40;3,00;;5,25;;5,25
;;24;3,50;0,40;3,00;;5,25;;5,25
;;23;3,50;0,40;3,00;;5,25;;5,25
;;22;3,50;0,40;3,00;;5,25;;5,25
;;19;3,50;0,40;3,00;;5,25;;5,25
;;18;3,50;0,40;3,00;;5,25;;5,25
;;17;3,50;0,40;3,00;;5,25;;5,25
;;16;3,50;0,40;3,00;;5,25;;5,25
;;15;3,50;0,40;3,00;;5,25;;
;;12;3,50;0,40;3,00;;5,25;;5,25
;;11;3,50;0,40;3,00;;5,25;;5,25
;;10;3,50;0,40;3,00;;5,00;;5,25
;;9;3,50;0,40;3,00;;5,00;;5,25
;;8;3,50;;3,00;;5,00;;5,25
;;5;3,50;0,40;3,00;;5,00;;5,25
;;4;3,50;0,40;3,00;;5,00;;5,25
;;3;3,50;;3,00;;5,00;;5,25
;;2;3,50;;3,00;;5,00;;5,25
;;;3,50;0,40;3,00;;5,25;;5,25
2006;Dec;29;3,50;0,40;3,00;;5,00;;5,25
;;28;3,50;0,40;3,00;;5,00;;5,25
;;27;3,50;0,40;3,00;;5,00;;5,25
;;26;;0,40;;;;;5,25
;;25;;0,40;;;;;
;;22;3,50;0,40;3,00;;5,00;;5,25
;;21;3,50;0,40;3,00;;5,00;;5,25
;;20;3,50;0,40;3,00;;5,00;;5,25
;;19;3,50;0,40;2,75;;5,00;;5,25
;;18;3,50;0,40;2,75;;5,00;;5,25
;;15;3,50;0,40;2,75;;5,00;;5,25
;;14;3,50;0,40;2,75;;5,00;;5,25
;;13;3,50;0,40;2,75;;5,00;;5,25
;;12;3,25;0,40;2,75;;5,00;;5,25
;;11;3,25;0,40;2,75;;5,00;;5,25
;;8;3,25;0,40;2,75;;5,00;;5,25
;;7;3,25;0,40;2,75;;5,00;;5,25
;;6;3,25;0,40;2,75;;5,00;;5,25
;;5;3,25;0,40;2,75;;5,00;;5,25
;;4;3,25;0,40;2,75;;5,00;;5,25
;;1;3,25;0,40;2,75;;5,00;;5,25
;;;3,50;0,40;3,00;;5,00;;5,25
;Nov;30;3,25;0,40;2,75;;5,00;;5,25
;;29;3,25;0,40;2,75;;5,00;;5,25
;;28;3,25;0,40;2,75;;5,00;;5,25
;;27;3,25;0,40;2,75;;5,00;;5,25
;;24;3,25;0,40;2,75;;5,00;;5,25
;;23;3,25;;2,75;;5,00;;
;;22;3,25;0,40;2,75;;5,00;;5,25
;;21;3,25;0,40;2,75;;5,00;;5,25
;;20;3,25;0,40;2,75;;5,00;;5,25
;;17;3,25;0,40;2,75;;5,00;;5,25
;;16;3,25;0,40;2,75;;5,00;;5,25
;;15;3,25;0,40;2,75;;5,00;;5,25
;;14;3,25;0,40;2,75;;5,00;;5,25
;;13;3,25;0,40;2,75;;5,00;;5,25
;;10;3,25;0,40;2,75;;5,00;;5,25
;;9;3,25;0,40;2,75;;5,00;;5,25
;;8;3,25;0,40;2,75;;4,75;;5,25
;;7;3,25;0,40;2,75;;4,75;;5,25
;;6;3,25;0,40;2,75;;4,75;;5,25
;;3;3,25;;2,75;;4,75;;5,25
;;2;3,25;0,40;2,75;;4,75;;5,25
;;1;3,25;0,40;2,75;;4,75;;5,25
;;;3,25;0,40;2,75;;5,00;;5,25
;Oct;31;3,25;0,40;2,50;;4,75;;5,25
;;30;3,25;0,40;2,50;;4,75;;5,25
;;27;3,25;0,40;2,50;;4,75;;5,25
;;26;3,25;0,40;2,50;;4,75;;5,25
;;25;3,25;0,40;2,50;;4,75;;5,25
;;24;3,25;0,40;2,50;;4,75;;5,25
;;23;3,25;0,40;2,50;;4,75;;5,25
;;20;3,25;0,40;2,50;;4,75;;5,25
;;19;3,25;0,40;2,50;;4,75;;5,25
;;18;3,25;0,40;2,50;;4,75;;5,25
;;17;3,25;0,40;2,50;;4,75;;5,25
;;16;3,25;0,40;2,50;;4,75;;5,25
;;13;3,25;0,40;2,50;;4,75;;5,25
;;12;3,25;0,40;2,50;;4,75;;5,25
;;11;3,25;0,40;2,50;;4,75;;5,25
;;10;3,00;0,40;2,50;;4,75;;5,25
;;9;3,00;;2,50;;4,75;;5,25
;;6;3,00;0,40;2,50;;4,75;;5,25
;;5;3,00;0,40;2,50;;4,75;;5,25
;;4;3,00;0,40;2,50;;4,75;;5,25
;;3;3,00;0,40;2,50;;4,75;;5,25
;;2;3,00;0,40;2,50;;4,75;;5,25
;;;3,25;0,40;2,50;;4,75;;5,25
;Sep;29;3,00;0,40;2,50;;4,75;;5,25
;;28;3,00;0,40;2,50;;4,75;;5,25
;;27;3,00;0,40;2,50;;4,75;;5,25
;;26;3,00;0,40;2,50;;4,75;;5,25
;;25;3,00;0,40;2,50;;4,75;;5,25
;;22;3,00;0,40;2,50;;4,75;;5,25
;;21;3,00;0,40;2,50;;4,75;;5,25
;;20;3,00;0,40;2,50;;4,75;;5,25
;;19;3,00;0,40;2,50;;4,75;;5,25
;;18;3,00;;2,50;;4,75;;5,25
;;15;3,00;0,40;2,50;;4,75;;5,25
;;14;3,00;0,40;2,50;;4,75;;5,25
;;13;3,00;0,40;2,50;;4,75;;5,25
;;12;3,00;0,40;2,50;;4,75;;5,25
;;11;3,00;0,40;2,50;;4,75;;5,25
;;8;3,00;0,40;2,50;;4,75;;5,25
;;7;3,00;0,40;2,50;;4,75;;5,25
;;6;3,00;0,40;2,50;;4,75;;5,25
;;5;3,00;0,40;2,25;;4,75;;5,25
;;4;3,00;0,40;2,25;;4,75;;
;;1;3,00;0,40;2,25;;4,75;;5,25
;;;3,00;0,40;2,50;;4,75;;5,25
;Aug;31;3,00;0,40;2,25;;4,75;;5,25
;;30;3,00;0,40;2,25;;4,75;;5,25
;;29;3,00;0,40;2,25;;4,75;;5,25
;;28;3,00;0,40;2,25;;4,75;;5,25
;;25;3,00;0,40;2,25;;4,75;;5,25
;;24;3,00;0,40;2,25;;4,75;;5,25
;;23;3,00;0,40;2,25;;4,75;;5,25
;;22;3,00;0,40;2,25;;4,75;;5,25
;;21;3,00;0,40;2,25;;4,75;;5,25
;;18;3,00;0,40;2,25;;4,75;;5,25
;;17;3,00;0,40;2,25;;4,75;;5,25
;;16;3,00;0,40;2,25;;4,75;;5,25
;;15;3,00;0,40;2,25;;4,75;;5,25
;;14;3,00;0,40;2,25;;4,75;;5,25
;;11;3,00;0,40;2,25;;4,75;;5,25
;;10;3,00;0,40;2,25;;4,75;;5,25
;;9;3,00;0,40;2,25;;4,75;;5,25
;;8;2,75;0,40;2,25;;4,75;;5,25
;;7;2,75;0,40;2,25;;4,75;;5,25
;;4;2,75;0,40;2,25;;4,75;;5,25
;;3;2,75;0,40;2,25;;4,75;;5,25
;;2;2,75;0,40;2,25;;4,50;;5,25
;;1;2,75;0,40;2,25;;4,50;;5,25
;;;3,00;0,40;2,25;;4,75;;5,25
;Jul;31;2,75;0,40;2,25;;4,50;;5,25
;;28;2,75;0,40;2,25;;4,50;;5,25
;;27;2,75;0,40;2,25;;4,50;;5,25
;;26;2,75;0,40;2,25;;4,50;;5,25
;;25;2,75;0,40;2,25;;4,50;;5,25
;;24;2,75;0,40;2,25;;4,50;;5,25
;;21;2,75;0,40;2,25;;4,50;;5,25
;;20;2,75;0,40;2,25;;4,50;;5,25
;;19;2,75;0,40;2,25;;4,50;;5,25
;;18;2,75;0,40;2,25;;4,50;;5,25
;;17;2,75;;2,25;;4,50;;5,25
;;14;2,75;0,40;2,25;;4,50;;5,25
;;13;2,75;0,10;2,25;;4,50;;5,25
;;12;2,75;0,10;2,25;;4,50;;5,25
;;11;2,75;0,10;2,25;;4,50;;5,25
;;10;2,75;0,10;2,25;;4,50;;5,25
;;7;2,75;0,10;2,25;;4,50;;5,25
;;6;2,75;0,10;2,25;;4,50;;5,25
;;5;2,75;0,10;2,25;;4,50;;5,25
;;4;2,75;0,10;2,25;;4,50;;
;;3;2,75;0,10;2,25;;4,50;;5,25
;;;2,75;0,40;2,25;;4,50;;5,25
;Jun;30;2,75;0,10;2,25;;4,50;;5,25
;;29;2,75;0,10;2,25;;4,50;;5,25
;;28;2,75;0,10;2,25;;4,50;;5,00
;;27;2,75;0,10;2,25;;4,50;;5,00
;;26;2,75;0,10;2,25;;4,50;;5,00
;;23;2,75;0,10;2,25;;4,50;;5,00
;;22;2,75;0,10;2,25;;4,50;;5,00
;;21;2,75;0,10;2,25;;4,50;;5,00
;;20;2,75;0,10;2,00;;4,50;;5,00
;;19;2,75;0,10;2,00;;4,50;;5,00
;;16;2,75;0,10;2,00;;4,50;;5,00
;;15;2,75;0,10;2,00;;4,50;;5,00
;;14;2,50;0,10;2,00;;4,50;;5,00
;;13;2,50;0,10;2,00;;4,50;;5,00
;;12;2,50;0,10;2,00;;4,50;;5,00
;;9;2,50;0,10;2,00;;4,50;;5,00
;;8;2,50;0,10;2,00;;4,50;;5,00
;;7;2,50;0,10;2,00;;4,50;;5,00
;;6;2,50;0,10;2,00;;4,50;;5,00
;;5;2,50;0,10;2,00;;4,50;;5,00
;;2;2,50;0,10;2,00;;4,50;;5,00
