;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;15;3,00;0,30;3,00;;4,00;;4,75
;;14;3,00;0,30;2,50;;4,00;;4,75
;;13;3,00;0,30;2,50;;4,00;;4,75
;;10;3,00;0,30;2,50;;4,00;;4,75
;;9;3,00;0,30;2,50;;4,00;;4,75
;;8;3,00;0,30;2,50;;4,00;;4,75
;;7;2,50;0,30;2,50;;4,00;;4,75
;;6;2,50;0,30;2,50;;4,00;;4,75
;;3;2,50;0,30;2,50;;4,00;;4,75
;;2;2,50;0,30;2,50;;4,00;;4,75
;;1;2,50;0,30;2,50;;3,50;;4,75
;;;3,00;0,30;3,00;;4,00;;4,75
;Jan;31;2,50;0,30;2,50;;3,50;;4,50
;;30;2,50;0,30;2,50;;3,50;;4,50
;;27;2,50;0,30;2,50;;3,50;;4,50
;;26;2,50;0,30;2,50;;3,50;;4,50
;;25;2,50;0,30;2,50;;3,50;;4,50
;;24;2,50;0,30;2,50;;3,50;;4,50
;;23;2,50;0,30;2,50;;3,50;;4,50
;;20;2,50;0,30;2,50;;3,50;;4,50
;;19;2,50;0,30;2,50;;3,50;;4,50
;;18;2,50;0,30;2,50;;3,50;;4,50
;;17;2,50;0,30;2,50;;3,50;;4,50
;;16;2,50;0,30;2,50;;3,50;;4,50
;;13;2,50;0,30;2,50;;3,50;;4,50
;;12;2,50;0,30;2,50;;3,50;;4,50
;;11;2,50;0,30;2,50;;3,50;;4,50
;;10;2,50;0,30;2,50;;3,50;;4,50
;;9;2,50;;2,50;;3,50;;4,50
;;6;2,50;0,30;;;3,50;;4,50
;;5;2,50;0,30;2,50;;3,50;;4,50
;;4;2,50;0,30;2,50;;3,50;;4,50
;;3;2,50;;2,50;;3,50;;4,50
;;2;2,50;;2,50;;3,50;;4,50
;;;2,50;0,30;2,50;;3,50;;4,50
2022;Dec;30;2,50;;2,50;;3,50;;4,50
;;29;2,50;0,30;2,50;;3,50;;4,50
;;28;2,50;0,30;2,50;;3,50;;4,50
;;27;2,50;0,30;2,50;;3,50;;4,50
;;26;2,50;0,30;;;3,50;;4,50
;;23;2,50;;2,50;;3,50;;4,50
;;22;2,50;0,30;2,50;;3,50;;4,50
;;21;2,50;0,30;2,50;;3,50;;4,50
;;20;2,00;0,30;2,50;;3,50;;4,50
;;19;2,00;0,30;2,50;;3,50;;4,50
;;16;2,00;;2,50;;3,50;;4,50
;;15;2,00;0,30;2,50;;3,50;;4,50
;;14;2,00;0,30;2,50;;3,00;;4,50
;;13;2,00;0,30;2,50;;3,00;;4,00
;;12;2,00;0,30;2,50;;3,00;;4,00
;;9;2,00;;2,50;;3,00;;4,00
;;8;2,00;0,30;2,50;;3,00;;4,00
;;7;2,00;0,30;2,50;;3,00;;4,00
;;6;2,00;0,30;2,50;;3,00;;4,00
;;5;2,00;0,30;2,50;;3,00;;4,00
;;2;2,00;;2,50;;3,00;;4,00
;;1;2,00;0,30;2,50;;3,00;;4,00
;;;2,50;0,30;2,50;;3,50;;4,50
;Nov;30;2,00;0,30;2,50;;3,00;;4,00
;;29;2,00;0,30;1,75;;3,00;;4,00
;;28;2,00;0,30;1,75;;3,00;;4,00
;;25;2,00;;1,75;;3,00;;4,00
;;24;2,00;0,30;1,75;;3,00;;4,00
;;23;2,00;0,30;1,75;;3,00;;4,00
;;22;2,00;0,30;1,75;;3,00;;4,00
;;21;2,00;0,30;1,75;;3,00;;4,00
;;18;2,00;;1,75;;3,00;;4,00
;;17;2,00;0,30;1,75;;3,00;;4,00
;;16;2,00;0,30;1,75;;3,00;;4,00
;;15;2,00;0,30;1,75;;3,00;;4,00
;;14;2,00;0,30;1,75;;3,00;;4,00
;;11;2,00;;1,75;;3,00;;4,00
;;10;2,00;0,30;1,75;;3,00;;4,00
;;9;2,00;0,30;1,75;;3,00;;4,00
;;8;2,00;0,30;1,75;;3,00;;4,00
;;7;2,00;0,30;1,75;;3,00;;4,00
;;4;2,00;0,30;1,75;;3,00;;4,00
;;3;2,00;0,30;1,75;;3,00;;4,00
;;2;2,00;0,30;1,75;;2,25;;4,00
;;1;1,25;0,30;;;2,25;;3,25
;;;2,00;0,30;2,50;;3,00;;4,00
;Oct;31;1,25;0,30;1,75;;2,25;;3,25
;;28;1,25;0,30;1,75;;2,25;;3,25
;;27;1,25;0,30;1,75;;2,25;;3,25
;;26;1,25;0,30;;;;;
;;25;1,25;0,30;1,75;;2,25;;3,25
;;24;1,25;0,30;1,75;;2,25;;3,25
;;21;1,25;0,30;1,75;;2,25;;3,25
;;20;1,25;0,30;1,75;;2,25;;3,25
;;19;1,25;0,30;1,75;;2,25;;3,25
;;18;1,25;0,30;1,75;;2,25;;3,25
;;17;1,25;0,30;1,75;;2,25;;3,25
;;14;1,25;0,30;1,75;;2,25;;3,25
;;13;1,25;0,30;1,75;;2,25;;3,25
;;12;1,25;0,30;1,75;;2,25;;3,25
;;11;1,25;0,30;1,75;;2,25;;3,25
;;10;1,25;0,30;1,75;;2,25;;3,25
;;7;1,25;0,30;1,75;;2,25;;3,25
;;6;1,25;0,30;1,75;;2,25;;3,25
;;5;1,25;0,30;1,75;;2,25;;3,25
;;4;1,25;0,30;1,75;;2,25;;3,25
;;3;1,25;0,30;1,75;;2,25;;3,25
;;;1,25;0,30;1,75;;2,25;;3,25
;Sep;30;1,25;0,30;1,75;;2,25;;3,25
;;29;1,25;0,30;1,75;;2,25;;3,25
;;28;1,25;0,30;1,75;;2,25;;3,25
;;27;1,25;0,30;1,75;;2,25;;3,25
;;26;1,25;0,30;1,75;;2,25;;3,25
;;23;1,25;0,30;1,75;;2,25;;3,25
;;22;1,25;0,30;1,75;;2,25;;3,25
;;21;1,25;0,30;1,75;;1,75;;3,25
;;20;1,25;0,30;0,75;;1,75;;2,50
;;19;1,25;0,30;0,75;;1,75;;2,50
;;16;1,25;0,30;0,75;;1,75;;2,50
;;15;1,25;0,30;0,75;;1,75;;2,50
;;14;1,25;0,30;0,75;;1,75;;2,50
;;13;0,50;0,30;0,75;;1,75;;2,50
;;12;0,50;0,30;0,75;;1,75;;2,50
;;9;0,50;0,30;0,75;;1,75;;2,50
;;8;0,50;0,30;0,75;;1,75;;2,50
;;7;0,50;0,30;0,75;;1,75;;2,50
;;6;0,50;0,30;0,75;;1,75;;2,50
;;5;0,50;0,30;0,75;;1,75;;2,50
;;2;0,50;0,30;0,75;;1,75;;2,50
;;1;0,50;0,30;0,75;;1,75;;2,50
;;;1,25;0,30;1,75;;2,25;;3,25
;Aug;31;0,50;0,30;0,75;;;;
;;30;0,50;0,30;0,75;;1,75;;2,50
;;29;0,50;0,30;0,75;;1,75;;2,50
;;26;0,50;0,30;0,75;;1,75;;2,50
;;25;0,50;0,30;0,75;;1,75;;2,50
;;24;0,50;0,30;0,75;;1,75;;2,50
;;23;0,50;0,30;0,75;;1,75;;2,50
;;22;0,50;0,30;0,75;;1,75;;2,50
;;19;0,50;0,30;0,75;;1,75;;2,50
;;18;0,50;0,30;0,75;;1,75;;2,50
;;17;0,50;0,30;0,75;;1,75;;2,50
;;16;0,50;0,30;0,75;;1,75;;2,50
;;15;0,50;0,30;0,75;;1,75;;2,50
;;12;0,50;0,30;0,75;;1,75;;2,50
;;11;0,50;0,30;0,75;;1,75;;2,50
;;10;0,50;0,30;0,75;;1,75;;2,50
;;9;0,50;0,30;0,75;;1,75;;2,50
;;8;0,50;0,30;0,75;;1,75;;2,50
;;5;0,50;0,30;0,75;;1,75;;2,50
;;4;0,50;0,30;0,75;;1,75;;2,50
;;3;0,50;0,30;0,75;;1,25;;2,50
;;2;0,50;0,30;0,75;;1,25;;2,50
;;1;0,50;0,30;0,75;;1,25;;2,50
;;;0,50;0,30;0,75;;1,75;;2,50
;Jul;29;0,50;0,30;0,75;;1,25;;2,50
;;28;0,50;0,30;0,75;;1,25;;2,50
;;27;0,50;0,30;0,75;;1,25;;2,50
;;26;0,00;0,30;0,75;;1,25;;1,75
;;25;0,00;0,30;0,75;;1,25;;1,75
;;22;0,00;0,30;0,75;;1,25;;1,75
;;21;0,00;0,30;0,75;;1,25;;1,75
;;20;0,00;0,30;0,75;;1,25;;1,75
;;19;0,00;0,30;0,75;;1,25;;1,75
;;18;0,00;0,30;0,75;;1,25;;1,75
;;15;0,00;0,30;0,75;;1,25;;1,75
;;14;0,00;0,30;0,75;;1,25;;1,75
;;13;0,00;0,30;0,75;;1,25;;1,75
;;12;0,00;0,30;0,75;;1,25;;1,75
;;11;0,00;0,30;0,75;;1,25;;1,75
;;8;0,00;0,30;0,75;;1,25;;1,75
;;7;0,00;0,30;0,75;;1,25;;1,75
;;6;0,00;0,30;0,75;;1,25;;1,75
;;5;0,00;0,30;0,25;;1,25;;1,75
;;4;0,00;0,30;0,25;;1,25;;1,75
;;1;0,00;0,30;0,25;;1,25;;1,75
;;;0,50;0,30;0,75;;1,25;;2,50
;Jun;30;0,00;0,30;0,25;;1,25;;1,75
;;29;0,00;0,30;0,25;;1,25;;1,75
;;28;0,00;0,30;0,25;;1,25;;1,75
;;27;0,00;0,30;0,25;;1,25;;1,75
;;24;0,00;0,30;;;1,25;;1,75
