,date,sp500,cpi,gdp,nasdaq,unrate,usdeur,usdgbp
2067,2022-05-03,4175.47998046875,291.359,25544.273,13087.5,3.6,0.8830699920654297,0.7413300275802612
2068,2022-05-04,4300.169921875,291.359,25544.273,13531.25,3.6,0.8845999836921692,0.740149974822998
2069,2022-05-05,4146.8701171875,291.359,25544.273,12858.0,3.6,0.8894000053405762,0.7425000071525574
2070,2022-05-06,4123.33984375,291.359,25544.273,12695.75,3.6,0.8970999717712402,0.7469199895858765
2071,2022-05-09,3991.239990234375,291.359,25544.273,12193.75,3.6,0.8966699838638306,0.7460799813270569
2072,2022-05-10,4001.050048828125,291.359,25544.273,12349.0,3.6,0.890500009059906,0.7437499761581421
2073,2022-05-11,3935.179931640625,291.359,25544.273,11969.75,3.6,0.8870000243186951,0.7393500208854675
2074,2022-05-12,3930.080078125,291.359,25544.273,11947.25,3.6,0.8849599957466125,0.7371900081634521
2075,2022-05-13,4023.889892578125,291.359,25544.273,12382.75,3.6,0.8744500279426575,0.7353799939155579
2076,2022-05-16,4008.010009765625,291.359,25544.273,12244.75,3.6,0.8729699850082397,0.7389100193977356
2077,2022-05-17,4088.85009765625,291.359,25544.273,12560.25,3.6,0.8738999962806702,0.7386720180511475
2078,2022-05-18,3923.679931640625,291.359,25544.273,11935.5,3.6,0.8755599856376648,0.7381399869918823
2079,2022-05-19,3900.7900390625,291.359,25544.273,11878.25,3.6,0.875540018081665,0.7389199733734131
2080,2022-05-20,3901.360107421875,291.359,25544.273,11840.75,3.6,0.8759999871253967,0.7379099726676941
2081,2022-05-23,3973.75,291.359,25544.273,12035.25,3.6,0.8798900246620178,0.7369400262832642
2082,2022-05-24,3941.47998046875,291.359,25544.273,11771.0,3.6,0.8844599723815918,0.7389400005340576
2083,2022-05-25,3978.72998046875,291.359,25544.273,11942.25,3.6,0.8805299997329712,0.7384899854660034
2084,2022-05-26,4057.840087890625,291.359,25544.273,12279.25,3.6,0.8791000247001648,0.7361099720001221
2085,2022-05-27,4158.240234375,291.359,25544.273,12677.75,3.6,0.8797799944877625,0.734279990196228
2086,2022-05-31,4132.14990234375,291.359,25544.273,12646.5,3.6,0.8836100101470947,0.7356500029563904
2087,2022-06-01,4101.22998046875,294.996,25544.273,12551.0,3.6,0.8841999769210815,0.735509991645813
2088,2022-06-02,4176.81982421875,294.996,25544.273,12893.75,3.6,0.8826799988746643,0.7358700037002563
2089,2022-06-03,4108.5400390625,294.996,25544.273,12551.0,3.6,0.8845099806785583,0.7382400035858154
2090,2022-06-06,4121.43017578125,294.996,25544.273,12605.0,3.6,0.8935999870300293,0.747759997844696
2091,2022-06-07,4160.68017578125,294.996,25544.273,12711.5,3.6,0.8943700194358826,0.747759997844696
2092,2022-06-08,4115.77001953125,294.996,25544.273,12615.75,3.6,0.8915899991989136,0.7450000047683716
2093,2022-06-09,4017.820068359375,294.996,25544.273,12275.0,3.6,0.8982499837875366,0.7498999834060669
2094,2022-06-10,3900.860107421875,294.996,25544.273,11840.0,3.6,0.8999000191688538,0.7464399933815002
2095,2022-06-13,3749.6298828125,294.996,25544.273,11296.5,3.6,0.903599977493286,0.7490100264549255
2096,2022-06-14,3735.47998046875,294.996,25544.273,11314.25,3.6,0.9195799827575684,0.7568600177764893
2097,2022-06-15,3789.989990234375,294.996,25544.273,11593.75,3.6,0.920360028743744,0.7626429796218872
2098,2022-06-16,3666.77001953125,294.996,25544.273,11124.75,3.6,0.9175800085067748,0.7634000182151794
2099,2022-06-17,3674.840087890625,294.996,25544.273,11130.3896484375,3.6,0.9030299782752992,0.758400022983551
2100,2022-06-21,3764.7900390625,294.996,25544.273,11577.25,3.6,0.9079399704933168,0.7631700038909912
2101,2022-06-22,3759.889892578125,294.996,25544.273,11565.75,3.6,0.914740025997162,0.7662659883499146
2102,2022-06-23,3795.72998046875,294.996,25544.273,11737.5,3.6,0.9138100147247314,0.768530011177063
2103,2022-06-24,3911.739990234375,294.996,25544.273,12140.5,3.6,0.9116299748420716,0.7664899826049805
2104,2022-06-27,3900.110107421875,294.996,25544.273,12040.5,3.6,0.9072800278663636,0.7609699964523315
2105,2022-06-28,3821.550048828125,294.996,25544.273,11674.25,3.6,0.9009400010108948,0.7598549723625183
2106,2022-06-29,3818.830078125,294.996,25544.273,11691.0,3.6,0.9055399894714355,0.7598299980163574
2107,2022-06-30,3785.3798828125,294.996,25544.273,11529.5,3.6,0.9076700210571288,0.7594000101089478
2108,2022-07-01,3825.330078125,294.977,25994.639,11611.25,3.5,0.9066399931907654,0.7537800073623657
2109,2022-07-05,3831.389892578125,294.977,25994.639,11808.5,3.5,0.9085699915885924,0.7572299838066101
2110,2022-07-06,3845.080078125,294.977,25994.639,11880.25,3.5,0.90829998254776,0.7578200101852417
2111,2022-07-07,3902.6201171875,294.977,25994.639,12138.5,3.5,0.9105899930000304,0.7589399814605713
2112,2022-07-08,3899.3798828125,294.977,25994.639,12152.0,3.5,0.909600019454956,0.7631499767303467
2113,2022-07-11,3854.429931640625,294.977,25994.639,11884.25,3.5,0.9015899896621704,0.7637199759483337
2114,2022-07-12,3818.800048828125,294.977,25994.639,11779.0,3.5,0.8959100246429443,0.7610999941825867
2115,2022-07-13,3801.780029296875,294.977,25994.639,11762.25,3.5,0.9031500220298768,0.7606300115585327
2116,2022-07-14,3790.3798828125,294.977,25994.639,11797.5,3.5,0.9052000045776368,0.7631400227546692
2117,2022-07-15,3863.159912109375,294.977,25994.639,12007.5,3.5,0.9110900163650512,0.7625100016593933
2118,2022-07-18,3830.85009765625,294.977,25994.639,11907.0,3.5,0.916890025138855,0.764680027961731
2119,2022-07-19,3936.68994140625,294.977,25994.639,12274.0,3.5,0.9175800085067748,0.764989972114563
2120,2022-07-20,3959.89990234375,294.977,25994.639,12465.25,3.5,0.9204000234603882,0.7651500105857849
2121,2022-07-21,3998.949951171875,294.977,25994.639,12640.0,3.5,0.9186999797821044,0.7673299908638
2122,2022-07-22,3961.6298828125,294.977,25994.639,12423.5,3.5,0.919290006160736,0.767799973487854
2123,2022-07-25,3966.840087890625,294.977,25994.639,12354.5,3.5,0.9236900210380554,0.7690799832344055
2124,2022-07-26,3921.050048828125,294.977,25994.639,12112.5,3.5,0.9177200198173524,0.762179970741272
2125,2022-07-27,4023.610107421875,294.977,25994.639,12619.0,3.5,0.9241300225257874,0.7651100158691406
2126,2022-07-28,4072.429931640625,294.977,25994.639,12737.5,3.5,0.9246199727058412,0.7658399939537048
2127,2022-07-29,4130.2900390625,294.977,25994.639,12971.5,3.5,0.9274899959564208,0.7686499953269958
2128,2022-08-01,4118.6298828125,295.209,25994.639,12962.5,3.6,0.9264000058174132,0.7684199810028076
2129,2022-08-02,4091.18994140625,295.209,25994.639,12924.5,3.6,0.9216700196266174,0.7651799917221069
2130,2022-08-03,4155.169921875,295.209,25994.639,13271.5,3.6,0.922919988632202,0.7676799893379211
2131,2022-08-04,4151.93994140625,295.209,25994.639,13327.0,3.6,0.9249799847602844,0.7793700098991394
2132,2022-08-05,4145.18994140625,295.209,25994.639,13228.75,3.6,0.9333400130271912,0.7849299907684326
2133,2022-08-08,4140.06005859375,295.209,25994.639,13183.25,3.6,0.9395300149917604,0.7946599721908569
2134,2022-08-09,4122.47021484375,295.209,25994.639,13031.5,3.6,0.947409987449646,0.7973300218582153
2135,2022-08-10,4210.240234375,295.209,25994.639,13392.0,3.6,0.9520000219345092,0.8023200035095215
2136,2022-08-11,4207.27001953125,295.209,25994.639,13311.25,3.6,0.9491299986839294,0.7953000068664551
2137,2022-08-12,4280.14990234375,295.209,25994.639,13577.75,3.6,0.9515600204467772,0.8001099824905396
2138,2022-08-15,4297.14013671875,295.209,25994.639,13681.25,3.6,0.9498000144958496,0.7999740242958069
2139,2022-08-16,4305.2001953125,295.209,25994.639,13658.25,3.6,0.9413999915122986,0.7925099730491638
2140,2022-08-17,4274.0400390625,295.209,25994.639,13493.25,3.6,0.9487900137901306,0.8087900280952454
2141,2022-08-18,4283.740234375,295.209,25994.639,13523.25,3.6,0.9494699835777284,0.8112499713897705
2142,2022-08-19,4228.47998046875,295.209,25994.639,13268.5,3.6,0.9464499950408936,0.81045001745224
2143,2022-08-22,4137.990234375,295.209,25994.639,12909.75,3.6,0.949400007724762,0.8123999834060669
2144,2022-08-23,4128.72998046875,295.209,25994.639,12896.5,3.6,0.9512500166893004,0.8173800110816956
2145,2022-08-24,4140.77001953125,295.209,25994.639,12929.75,3.6,0.9634299874305724,0.8192600011825562
2146,2022-08-25,4199.1201171875,295.209,25994.639,13156.0,3.6,0.9614800214767456,0.8157600164413452
2147,2022-08-26,4057.659912109375,295.209,25994.639,12620.5,3.6,0.957949995994568,0.8113700151443481
2148,2022-08-29,4030.610107421875,295.209,25994.639,12492.75,3.6,0.9480599761009216,0.8009999990463257
2149,2022-08-30,3986.159912109375,295.209,25994.639,12358.75,3.6,0.954859972000122,0.8099899888038635
2150,2022-08-31,3955.0,295.209,25994.639,12285.25,3.6,0.9452700018882751,0.8024299740791321
2151,2022-09-01,3966.85009765625,296.341,25994.639,12292.25,3.5,0.9460899829864502,0.7997400164604187
2152,2022-09-02,3924.260009765625,296.341,25994.639,12104.25,3.5,0.9361500144004822,0.7957000136375427
2153,2022-09-06,3908.18994140625,296.341,25994.639,12019.0,3.5,0.9314000010490416,0.7972599864006042
2154,2022-09-07,3979.8701171875,296.341,25994.639,12263.25,3.5,0.9357500076293944,0.794526994228363
2155,2022-09-08,4006.179931640625,296.341,25994.639,12321.75,3.5,0.9317100048065186,0.7925599813461304
2156,2022-09-09,4067.360107421875,296.341,25994.639,12592.5,3.5,0.9318400025367736,0.7918699979782104
2157,2022-09-12,4110.41015625,296.341,25994.639,12740.75,3.5,0.9282000064849854,0.7907000184059143
2158,2022-09-13,3932.68994140625,296.341,25994.639,12036.5,3.5,0.9316099882125854,0.7930899858474731
2159,2022-09-14,3946.010009765625,296.341,25994.639,12142.0,3.5,0.9386000037193298,0.8010799884796143
2160,2022-09-15,3901.35009765625,296.341,25994.639,11934.75,3.5,0.9301400184631348,0.7949600219726562
2161,2022-09-16,3873.330078125,296.341,25994.639,11814.580078125,3.5,0.9323099851608276,0.8004930019378662
2162,2022-09-19,3899.889892578125,296.341,25994.639,12024.0,3.5,0.9353299736976624,0.7985000014305115
2163,2022-09-20,3855.929931640625,296.341,25994.639,11922.25,3.5,0.9347000122070312,0.7944499850273132
2164,2022-09-21,3789.929931640625,296.341,25994.639,11710.0,3.5,0.9330400228500366,0.7974299788475037
2165,2022-09-22,3757.989990234375,296.341,25994.639,11565.5,3.5,0.9416900277137756,0.8004500269889832
2166,2022-09-23,3693.22998046875,296.341,25994.639,11376.75,3.5,0.9532899856567384,0.8146700263023376
2167,2022-09-26,3655.0400390625,296.341,25994.639,11316.25,3.5,0.9601399898529052,0.8234000205993652
2168,2022-09-27,3647.2900390625,296.341,25994.639,11333.75,3.5,0.9577999711036682,0.8324599862098694
2169,2022-09-28,3719.0400390625,296.341,25994.639,11555.75,3.5,0.9563699960708618,0.821399986743927
2170,2022-09-29,3640.469970703125,296.341,25994.639,11228.25,3.5,0.9481499791145324,0.8094000220298767
2171,2022-09-30,3585.6201171875,296.341,25994.639,11035.5,3.5,0.9531599879264832,0.8177800178527832
2172,2022-10-03,3678.429931640625,297.863,26408.405,11285.75,3.6,0.9505000114440918,0.8162099719047546
2173,2022-10-04,3790.929931640625,297.863,26408.405,11640.75,3.6,0.949429988861084,0.8152199983596802
2174,2022-10-05,3783.280029296875,297.863,26408.405,11623.75,3.6,0.9466000199317932,0.8162699937820435
2175,2022-10-06,3744.52001953125,297.863,26408.405,11541.75,3.6,0.9505599737167358,0.8156099915504456
2176,2022-10-07,3639.659912109375,297.863,26408.405,11101.5,3.6,0.9464200139045716,0.8141700029373169
2177,2022-10-10,3612.389892578125,297.863,26408.405,10984.5,3.6,0.9451000094413756,0.8151699900627136
2178,2022-10-11,3588.840087890625,297.863,26408.405,10845.0,3.6,0.9502500295639038,0.820360004901886
2179,2022-10-12,3577.030029296875,297.863,26408.405,10840.5,3.6,0.9572499990463256,0.8242800235748291
2180,2022-10-13,3669.909912109375,297.863,26408.405,11083.75,3.6,0.9544100165367126,0.8223099708557129
